STATION,NAME,DATE,PRCP,TMAX,TMIN,Tmax_C,Tmin_C,delta
USC00198757,"WALPOLE 2, MA US",4/22/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/23/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/24/1973,0.44,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/25/1973,0.04,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/26/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/27/1973,0.88,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/28/1973,0.49,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/29/1973,0.07,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",4/30/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/1/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/2/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/3/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/4/1973,0.08,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/5/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/6/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/7/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/8/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/9/1973,0.07,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/10/1973,0.47,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/11/1973,0.09,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/12/1973,0.79,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/13/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/14/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/15/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/16/1973,0.49,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/17/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/18/1973,0.05,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/19/1973,0.11,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/20/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/21/1973,1.09,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/22/1973,0.03,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/23/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/24/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/25/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/26/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/27/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/28/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/29/1973,0.27,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/30/1973,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/31/1973,0.27,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",10/31/1978,0,,,-17.77777778,-17.77777778,0
USC00198757,"WALPOLE 2, MA US",5/19/1988,0.05,49,48,9.444444444,8.888888889,0.555555555
USC00198757,"WALPOLE 2, MA US",6/26/1974,0.12,55,53,12.77777778,11.66666667,1.11111111
USC00198757,"WALPOLE 2, MA US",7/31/1976,0.95,63,61,17.22222222,16.11111111,1.11111111
USC00198757,"WALPOLE 2, MA US",5/19/1979,0,53,51,11.66666667,10.55555556,1.11111111
USC00198757,"WALPOLE 2, MA US",9/20/1987,1.31,56,54,13.33333333,12.22222222,1.11111111
USC00198757,"WALPOLE 2, MA US",8/30/2005,1.13,72,70,22.22222222,21.11111111,1.11111111
USC00198757,"WALPOLE 2, MA US",6/25/2006,1.52,66,64,18.88888889,17.77777778,1.11111111
USC00198757,"WALPOLE 2, MA US",10/11/2007,0.04,58,56,14.44444444,13.33333333,1.11111111
USC00198757,"WALPOLE 2, MA US",5/5/1987,0.23,43,41,6.111111111,5,1.111111111
USC00198757,"WALPOLE 2, MA US",3/19/1998,0.6,37,35,2.777777778,1.666666667,1.111111111
USC00198757,"WALPOLE 2, MA US",2/2/1985,0.24,32,30,0,-1.111111111,1.111111111
USC00198757,"WALPOLE 2, MA US",3/20/1998,0.78,36,34,2.222222222,1.111111111,1.111111111
USC00198757,"WALPOLE 2, MA US",12/10/2007,0.19,32,30,0,-1.111111111,1.111111111
USC00198757,"WALPOLE 2, MA US",5/16/1978,0.74,47,45,8.333333333,7.222222222,1.111111111
USC00198757,"WALPOLE 2, MA US",11/12/1979,1.08,44,42,6.666666667,5.555555556,1.111111111
USC00198757,"WALPOLE 2, MA US",11/8/1997,0.09,47,45,8.333333333,7.222222222,1.111111111
USC00198757,"WALPOLE 2, MA US",12/15/1999,0.36,42,40,5.555555556,4.444444444,1.111111112
USC00198757,"WALPOLE 2, MA US",8/28/1996,0,65,62,18.33333333,16.66666667,1.66666666
USC00198757,"WALPOLE 2, MA US",8/24/2010,0.83,63,60,17.22222222,15.55555556,1.66666666
USC00198757,"WALPOLE 2, MA US",11/9/1977,2.89,56,53,13.33333333,11.66666667,1.66666666
USC00198757,"WALPOLE 2, MA US",10/1/1979,0.05,58,55,14.44444444,12.77777778,1.66666666
USC00198757,"WALPOLE 2, MA US",6/22/2003,0.92,58,55,14.44444444,12.77777778,1.66666666
USC00198757,"WALPOLE 2, MA US",10/14/2005,0.43,58,55,14.44444444,12.77777778,1.66666666
USC00198757,"WALPOLE 2, MA US",10/1/2014,0.1,58,55,14.44444444,12.77777778,1.66666666
USC00198757,"WALPOLE 2, MA US",2/23/2003,1.43,38,35,3.333333333,1.666666667,1.666666666
USC00198757,"WALPOLE 2, MA US",12/17/2012,0.45,38,35,3.333333333,1.666666667,1.666666666
USC00198757,"WALPOLE 2, MA US",1/26/1979,0.44,36,33,2.222222222,0.555555556,1.666666666
USC00198757,"WALPOLE 2, MA US",2/18/1984,0.05,36,33,2.222222222,0.555555556,1.666666666
USC00198757,"WALPOLE 2, MA US",11/3/1985,0.12,47,44,8.333333333,6.666666667,1.666666666
USC00198757,"WALPOLE 2, MA US",11/9/1997,0.51,47,44,8.333333333,6.666666667,1.666666666
USC00198757,"WALPOLE 2, MA US",12/6/2014,0.38,40,37,4.444444444,2.777777778,1.666666666
USC00198757,"WALPOLE 2, MA US",6/1/2015,0.88,49,46,9.444444444,7.777777778,1.666666666
USC00198757,"WALPOLE 2, MA US",4/21/2017,0.3,47,44,8.333333333,6.666666667,1.666666666
USC00198757,"WALPOLE 2, MA US",11/7/1977,0,50,47,10,8.333333333,1.666666667
USC00198757,"WALPOLE 2, MA US",5/16/2001,0.06,50,47,10,8.333333333,1.666666667
USC00198757,"WALPOLE 2, MA US",1/11/2009,0.55,24,21,-4.444444444,-6.111111111,1.666666667
USC00198757,"WALPOLE 2, MA US",11/22/1978,0.14,30,27,-1.111111111,-2.777777778,1.666666667
USC00198757,"WALPOLE 2, MA US",4/8/1988,0.02,42,39,5.555555556,3.888888889,1.666666667
USC00198757,"WALPOLE 2, MA US",1/13/1993,0.15,34,31,1.111111111,-0.555555556,1.666666667
USC00198757,"WALPOLE 2, MA US",3/1/1998,0.39,42,39,5.555555556,3.888888889,1.666666667
USC00198757,"WALPOLE 2, MA US",4/13/2004,0.36,42,39,5.555555556,3.888888889,1.666666667
USC00198757,"WALPOLE 2, MA US",2/4/2005,0.32,34,31,1.111111111,-0.555555556,1.666666667
USC00198757,"WALPOLE 2, MA US",2/8/2008,0.07,28,25,-2.222222222,-3.888888889,1.666666667
USC00198757,"WALPOLE 2, MA US",12/9/2017,0,33,30,0.555555556,-1.111111111,1.666666667
USC00198757,"WALPOLE 2, MA US",11/19/2018,0,37,34,2.777777778,1.111111111,1.666666667
USC00198757,"WALPOLE 2, MA US",12/16/2018,0.03,42,39,5.555555556,3.888888889,1.666666667
USC00198757,"WALPOLE 2, MA US",11/13/1979,0.01,44,41,6.666666667,5,1.666666667
USC00198757,"WALPOLE 2, MA US",5/24/2005,0.25,46,43,7.777777778,6.111111111,1.666666667
USC00198757,"WALPOLE 2, MA US",5/2/2006,0.44,46,43,7.777777778,6.111111111,1.666666667
USC00198757,"WALPOLE 2, MA US",3/2/2009,0.78,23,20,-5,-6.666666667,1.666666667
